Date,Time-series Factor Momentum
2/1/73,0.014059634
3/1/73,0.011390433
4/1/73,0.026876247
5/1/73,0.01806598
6/1/73,0.01084351
7/1/73,-0.04092145
8/1/73,0.005349131
9/1/73,-0.03818333
10/1/73,0.02740193
11/1/73,0.029910628
12/1/73,-0.004406348
1/1/74,0.014197204
2/1/74,0.015782622
3/1/74,0.017566957
4/1/74,0.015146886
5/1/74,0.015883906
6/1/74,0.009563385
7/1/74,0.013939949
8/1/74,0.017358112
9/1/74,0.01823006
10/1/74,-0.051205725
11/1/74,-0.009551704
12/1/74,0.020176365
1/1/75,0.00457082
2/1/75,0.006075539
3/1/75,0.008980267
4/1/75,0.002327118
5/1/75,-0.005762025
6/1/75,-0.005860917
7/1/75,0.013315848
8/1/75,-0.011429303
9/1/75,0.002890304
10/1/75,0.030423456
11/1/75,0.008868632
12/1/75,-0.000943218
1/1/76,0.034173156
2/1/76,0.027346723
3/1/76,-0.007364091
4/1/76,0.000457034
5/1/76,-0.000974567
6/1/76,-9.06E-06
7/1/76,0.015043212
8/1/76,0.006998155
9/1/76,0.010428134
10/1/76,-0.000469152
11/1/76,0.004356685
12/1/76,0.022534061
1/1/77,0.026507775
2/1/77,0.008707526
3/1/77,0.004503526
4/1/77,0.008368222
5/1/77,0.004638671
6/1/77,0.00030764
7/1/77,0.013906498
8/1/77,-0.002964789
9/1/77,0.003742163
10/1/77,0.008140997
11/1/77,0.000761023
12/1/77,0.003740246
1/1/78,0.005969134
2/1/78,0.006038529
3/1/78,0.012892067
4/1/78,9.67E-05
5/1/78,0.005248854
6/1/78,0.004752114
7/1/78,0.010467492
8/1/78,0.012784902
9/1/78,-0.00440758
10/1/78,-0.000741123
11/1/78,-0.012852558
12/1/78,0.015206944
1/1/79,-0.0059403
2/1/79,-0.004620101
3/1/79,-0.001287266
4/1/79,0.008127144
5/1/79,-0.001477201
6/1/79,0.002288453
7/1/79,-0.000575622
8/1/79,-0.003375205
9/1/79,0.011367045
10/1/79,-0.001864831
11/1/79,-0.000935462
12/1/79,0.01192486
1/1/80,0.026889089
2/1/80,0.01684861
3/1/80,-0.028648212
4/1/80,-0.008857943
5/1/80,-2.56E-05
6/1/80,0.013142987
7/1/80,0.002943182
8/1/80,0.020758358
9/1/80,0.024057298
10/1/80,0.013730001
11/1/80,0.011655971
12/1/80,-0.000357313
1/1/81,0.005118295
2/1/81,0.003905556
3/1/81,0.00889825
4/1/81,0.018499086
5/1/81,-0.003962717
6/1/81,0.011228574
7/1/81,0.002366264
8/1/81,0.001048539
9/1/81,0.020443193
10/1/81,-0.006911827
11/1/81,0.014027482
12/1/81,0.013073058
1/1/82,0.012239462
2/1/82,0.01746491
3/1/82,0.024383994
4/1/82,-0.005581068
5/1/82,0.022145017
6/1/82,0.019880796
7/1/82,0.012556219
8/1/82,-0.014442533
9/1/82,0.029234609
10/1/82,-0.014834831
11/1/82,0.00701778
12/1/82,0.010732898
1/1/83,-0.010918494
2/1/83,0.016999088
3/1/83,0.024289471
4/1/83,0.019915593
5/1/83,0.003442164
6/1/83,0.008837109
7/1/83,0.020474901
8/1/83,0.002514994
9/1/83,0.014998325
10/1/83,0.026140531
11/1/83,-0.007793279
12/1/83,0.022745589
1/1/84,0.034272734
2/1/84,0.011665557
3/1/84,0.004740484
4/1/84,0.015660174
5/1/84,0.008669033
6/1/84,0.003971317
7/1/84,0.022704185
8/1/84,-0.016525207
9/1/84,0.022562791
10/1/84,0.012097396
11/1/84,0.017324413
12/1/84,0.00381245
1/1/85,-0.020861247
2/1/85,0.019736777
3/1/85,0.021592051
4/1/85,0.023396342
5/1/85,0.012768527
6/1/85,0.012251338
7/1/85,-0.008940798
8/1/85,0.009246569
9/1/85,0.018462566
10/1/85,0.011246576
11/1/85,-0.001701497
12/1/85,0.002129324
1/1/86,-0.00769381
2/1/86,0.00875117
3/1/86,0.016249737
4/1/86,0.006635571
5/1/86,0.023443266
6/1/86,0.028654194
7/1/86,0.008599335
8/1/86,-0.003151004
9/1/86,-0.003283965
10/1/86,0.000437489
11/1/86,0.009929
12/1/86,0.001974228
1/1/87,-0.005762938
2/1/87,-0.018867921
3/1/87,0.01894925
4/1/87,0.002751201
5/1/87,0.003734139
6/1/87,0.012743495
7/1/87,0.009511112
8/1/87,0.003063663
9/1/87,0.010254124
10/1/87,0.015251117
11/1/87,-0.010339939
12/1/87,-0.0214512
1/1/88,0.002160304
2/1/88,-0.014363915
3/1/88,-0.007184545
4/1/88,0.006678519
5/1/88,0.014887989
6/1/88,-0.015556208
7/1/88,0.010222535
8/1/88,0.007805242
9/1/88,0.00357052
10/1/88,0.005447638
11/1/88,0.00129515
12/1/88,-0.004605576
1/1/89,-0.004716097
2/1/89,0.008283022
3/1/89,0.005023562
4/1/89,-0.000721708
